Categoria,App,Paquete,Horas_Anio(16mar-25ago),Aperturas_Anio,Horas_Mes(2-25ago),Aperturas_Mes,Horas_Semana(21-25ago),Aperturas_Semana,Horas_Hoy(24-25ago),Aperturas_Hoy
Sistema y utilidades,Uiservice,com.sec.android.desktopmode.uiservice,0.079,4,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Photos,com.google.android.apps.photos,0.076,6,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Photoretouching,com.sec.android.mimage.photoretouching,0.076,14,0.004,1,0.0,0,0.0,0
Sistema y utilidades,Voc,com.samsung.android.voc,0.061,7,0.004,2,0.0,0,0.0,0
Bienestar digital,Forest,com.samsung.android.forest,0.059,4,0.058,3,0.023,1,0.023,1
Sistema y utilidades,Wssyncmldm,com.wssyncmldm,0.058,47,0.014,8,0.0,0,0.0,0
Streaming y entretenimiento,Havi,com.yscoco.havi,0.058,8,0.0,0,0.0,0,0.0,0
Trabajo y productividad,Messaging,com.google.android.apps.messaging,0.058,7,0.002,1,0.0,0,0.0,0
Sistema y utilidades,Desktoplauncher,com.sec.android.app.desktoplauncher,0.053,9,0.0,0,0.0,0,0.0,0
Streaming y entretenimiento,Music,com.google.android.apps.youtube.music,0.047,2,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Permissioncontroller,com.google.android.permissioncontroller,0.044,129,0.002,9,0.0,0,0.0,0
Sistema y utilidades,Android,android,0.032,45,0.0,1,0.0,0,0.0,0
Transporte y delivery,Tranzmate,com.tranzmate,0.032,4,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Intelligence,com.android.settings.intelligence,0.03,12,0.014,4,0.001,1,0.001,1
Gobierno y trámites,Miba,buenosaires.gob.ar.miba,0.029,29,0.0,0,0.0,0,0.0,0
Finanzas y bancos,Walletnfcrel,com.google.android.apps.walletnfcrel,0.029,4,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Module,com.google.android.providers.media.module,0.027,41,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Android,com.dla.android,0.026,3,0.026,3,0.0,0,0.0,0
Sistema y utilidades,Documentsui,com.google.android.documentsui,0.025,22,0.001,1,0.001,1,0.0,0
Compras,Natura,com.naturaeco.app.natura,0.023,4,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Sistema,com.android.systemui,0.022,9,0.005,3,0.005,2,0.005,2
Compras,Bk,com.emn8.mobilem8.nativeapp.bk,0.019,3,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Oneconnect,com.samsung.android.oneconnect,0.017,6,0.001,1,0.0,0,0.0,0
Sistema y utilidades,App,com.google.android.apps.chromecast.app,0.016,3,0.016,3,0.016,3,0.0,0
Finanzas y bancos,Personalpay,ar.com.personalpay,0.015,4,0.0,0,0.0,0,0.0,0
Compras,Showcase,com.cupona.custom.showcase,0.014,2,0.0,0,0.0,0,0.0,0
Finanzas y bancos,Mobimatter,com.glowfishlabs.mobimatter,0.01,5,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Tachyon,com.google.android.apps.tachyon,0.01,1,0.0,0,0.0,0,0.0,0
Trabajo y productividad,Appmanager,com.microsoft.appmanager,0.009,1,0.0,0,0.0,0,0.0,0
Trabajo y productividad,Sharelive,com.samsung.android.app.sharelive,0.009,2,0.0,0,0.0,0,0.0,0
